지점명,주소
안산삼성프라자,"경기도 안산시 상록구 광덕1로 342 (이동), 1층 일부"
안산한대앞역,"경기도 안산시 상록구 광덕1로 379, 한남빌딩 1~2층 (이동)"
안산한양대,"경기도 안산시 상록구 성안길 82-3, B동 1층 (사동)"
안산문화광장,"경기도 안산시 단원구 광덕대로 154, ,771-4 로데오타운1층 (고잔동)"
송산그린시티,경기도 화성시 수노을중앙로 136 
안산중앙역,경기도 안산시 단원구 중앙대로 907 (고잔동)
안산중앙,"경기도 안산시 단원구 고잔로 102, 스타타워 1층 (고잔동)"
안산고잔센트럴타워,경기도 안산시 단원구 고잔로 72 (고잔동)
안산삼성프라자,"경기도 안산시 상록구 광덕1로 342 (이동), 1층 일부"
안산한대앞역,"경기도 안산시 상록구 광덕1로 379, 한남빌딩 1~2층 (이동)"
안산한양대,"경기도 안산시 상록구 성안길 82-3, B동 1층 (사동)"
안산문화광장,"경기도 안산시 단원구 광덕대로 154, ,771-4 로데오타운1층 (고잔동)"
송산그린시티,경기도 화성시 수노을중앙로 136 
안산중앙역,경기도 안산시 단원구 중앙대로 907 (고잔동)
안산중앙,"경기도 안산시 단원구 고잔로 102, 스타타워 1층 (고잔동)"
안산고잔센트럴타워,경기도 안산시 단원구 고잔로 72 (고잔동)
남이섬,경기도 가평군 가평읍 북한강변로 1054 북한강변로 1054
소노캄고양,경기도 고양시 일산동구 장항동 1755 
일산애니골DT,경기도 고양시 일산동구 무궁화로 294 (풍동)
동국대일산병원,경기도 고양시 일산동구 식사동 814 경기도 고양시 일산동구 동국로 27
일산풍동DT,경기도 고양시 일산동구 백마로 475 (풍동)
백석중앙로,경기도 고양시 일산동구 강송로 33 (백석동)
일산식사,경기도 고양시 일산동구 위시티2로11번길 31 (식사동)
풍산이마트,경기도 고양시 일산동구 무궁화로 237 (중산동)
백석역DT,"경기도 고양시 일산동구 중앙로 1054, 1층 (백석동)"
백석,경기도 고양시 일산동구 중앙로 1059 (백석동)
라페스타광장,경기도 고양시 일산동구 중앙로1275번길 38-9 (장항동)
일산백마,경기도 고양시 일산동구 일산로 237 (마두동)
웨스턴돔B,경기도 고양시 일산동구 정발산로 24 (장항동)
마두역,경기도 고양시 일산동구 중앙로 1191 (장항동)
일산동구청,경기도 고양시 일산동구 정발산로 38 
과천DT,경기도 과천시 중앙로 277 (중앙동)
과천이마트,경기도 과천시 별양상가3로 11 이마트 1층(별양동)
과천,"경기도 과천시 중앙로 129, 고려빌딩 1층 (중앙동)"
광명하안대로,경기도 광명시 범안로 1036 (하안동)
철산역,경기도 광명시 철산로 15 (철산동)
