지역명,가게이름,별점,리뷰갯수,사장리뷰,얼마이상,소요시간
가회동,음식이야기밥,★ 4.6,28,18,"10,000원 이상 배달",50~60분
가회동,네네치킨-종로점,★ 4.9,3122,2992,"16,000원 이상 배달",54~64분
가회동,김준현의피자헤븐-종로성대점,★ 4.8,1854,1109,"14,000원 이상 배달",36~46분
가회동,원할머니보쌈-종로5가점,★ 4.7,2534,482,"25,000원 이상 배달",43~53분
가회동,파리바게뜨-성대명륜점,★ 4.9,1170,194,"12,000원 이상 배달",55~65분
가회동,후라이드참잘하는집-서대문점,★ 4.7,1689,5,"14,000원 이상 배달",42~52분
가회동,뚜레쥬르-카페대학로점,★ 4.9,1252,952,"12,000원 이상 배달",28분
가회동,피자헛-혜화점,★ 4.6,720,58,"19,900원 이상 배달",25~35분
가회동,청년피자-종로점,★ 4.9,233,233,"14,900원 이상 배달",38~48분
가회동,PB델리-성대명륜점,★ 4.8,327,335,"11,000원 이상 배달",85~95분
가회동,도미노피자-세종로점,★ 4.9,557,104,"21,900원 이상 배달",35~45분
가회동,두마리찜닭두찜-종로혜화점,★ 4.7,116,38,"15,800원 이상 배달",57~67분
가회동,파리크라상-광화문점,★ 4.8,38,60,"15,000원 이상 배달",65~75분
가회동,멕시카나-종로점,★ 4.6,300,324,"16,000원 이상 배달",45~55분
가회동,굽네치킨&피자-경복궁점,★ 4.7,383,2,"15,000원 이상 배달",45~55분
가회동,박가부대-종로2가점,★ 4.8,37,32,"15,000원 이상 배달",55~65분
가회동,파파존스피자-을지로점,★ 4.6,101,20,"15,000원 이상 배달",32~42분
가회동,맘스터치-종로대학로점,★ 5.0,1,6,"12,000원 이상 배달",48~58분
가회동,CU-종로삼청점,★ 4.9,38,100,"10,000원 이상 배달",45~55분
가회동,파스쿠찌-서울대병원점,★ 4.6,252,1170,"12,000원 이상 배달",42~52분
가회동,돈치킨-종로5가점,★ 4.8,134,34,"16,000원 이상 배달",35분
가회동,자담치킨-종로점,★ 4.8,103,25,"17,000원 이상 배달",58~68분
가회동,빕스-제일제당센터점,★ 4.7,103,892,"15,000원 이상 배달",31분
가회동,에그드랍-동대문점,★ 3.7,12,238,"8,000원 이상 배달",57~67분
가회동,유가네닭갈비-대학로점,★ 4.9,1327,2101,"15,000원 이상 배달",54~64분
가회동,백종원의미정국수&컵밥-대학로점,★ 4.7,237,621,"10,000원 이상 배달",22분
가회동,힐사이드테이블,★ 4.7,1879,1384,"12,000원 이상 배달",24분
가회동,스쿨푸드-종로점,★ 4.9,899,1,"12,000원 이상 배달",39~49분
가회동,미토함박,★ 4.9,247,2992,"13,900원 이상 배달",31분
가회동,피자보이시나-대학로점,★ 4.9,2105,1109,"14,900원 이상 배달",43~53분
가회동,비스포킷-광화문점,★ 4.6,2134,264,"12,000원 이상 배달",25분
가회동,구구족-성신여대역점,★ 4.6,2547,202,"19,000원 이상 배달",32분
가회동,중앙아구찜&탕,★ 4.4,89,166,"30,000원 이상 배달",58~68분
가회동,불타는양꼬치&마약마라탕,★ 4.9,3122,310,"14,000원 이상 배달",29분
가회동,후룩뽕,★ 4.8,1854,1,"10,000원 이상 배달",48~58분
가회동,Jazz&라멘,★ 4.8,264,1392,"12,000원 이상 배달",24분
가회동,네네치킨-종로점,★ 5.0,204,389,"16,000원 이상 배달",54~64분
가회동,김준현의피자헤븐-종로성대점,★ 4.7,1085,14,"14,000원 이상 배달",36~46분
가회동,리킨치킨,★ 4.7,43,16,"12,000원 이상 배달",50~60분
가회동,밀크홀1937-종로점,★ 4.7,991,737,"10,000원 이상 배달",25분
가회동,김밥천국-성균관대점,★ 4.8,75,482,"10,000원 이상 배달",55~65분
가회동,꿀밥상,★ 5.0,3,194,"12,000원 이상 배달",19분
