업종,가게이름,평가점수,평가인원,리뷰갯수,주소,Latitude,Longitude,전화,영업시간,링크주소
베트남음식,땀땀,3.4,205,"2,275",서울 강남구 역삼동 817-31,37.5003764,127.0279606,02-554-8892,매일 11:00 ~ 22:00,https://place.map.kakao.com/1238400864#review
디저트카페,카페노티드 청담,3.6,224,"1,656",서울 강남구 도산대로53길 15 1층,37.5241508,127.0382334,,매일 09:00 ~ 21:00,https://place.map.kakao.com/348276052#review
갈비,몽탄,3.5,192,"1,310",서울 용산구 백범로99길 50,37.535959,126.9722312,02-794-8592,매일 12:00 ~ 21:00,https://place.map.kakao.com/220597413#review
국수,명동교자 본점,3.8,557,"1,260",서울 중구 명동10길 29,37.5625339,126.9857421,02-776-5348,매일 10:30 ~ 21:30,https://place.map.kakao.com/10332413#review
카페,어니언 안국점,3.1,139,"1,217",서울 종로구 계동길 5,37.5773379,126.9863689,070-7543-2123,"토,일 09:00 ~ 22:00",https://place.map.kakao.com/853028118#review
양식,르블란서,3,53,"1,177",서울 종로구 수표로28길 30,37.5728584,126.9902061,02-766-9951,크타임화~일 15:00 ~ 17:00,https://place.map.kakao.com/1376992930#review
삼겹살,꿀삼겹 본점,2.9,18,"1,169",서울 중랑구 면목로91길 45 1층,37.5937298,127.0834895,02-433-5730,매일 12:30 ~ 23:30,https://place.map.kakao.com/1226841209#review
"육류,고기",오돌,3.9,46,"1,157",서울 영등포구 국회대로37길 6 1층,37.5275224,126.8998043,02-2068-5592,월~토 14:00 ~ 23:00,https://place.map.kakao.com/1393296142#review
"돈까스,우동",경양카츠,4.1,111,"1,097",서울 종로구 수표로28길 15,37.5728755,126.9893614,070-4795-8889,"매일 11:30 ~ 20:30 · 브레이크타임 토,일 15:30 ~ 17:00",https://place.map.kakao.com/11162975#review
카페,블루보틀 성수 카페,3.1,164,"1,065",서울 성동구 아차산로 7,37.5472123,127.0549821,02-6212-6998,매일 08:00 ~ 20:00,https://place.map.kakao.com/1492599844#review
