업종,가게이름,평가점수,평가인원,리뷰갯수,주소,전화,영업시간,링크주소
치킨,한남동한방통닭,4.0,127,300,서울 용산구 대사관로34길 38,02-797-8677,영업시간 월~토 17:00 ~ 02:00,https://place.map.kakao.com/16330571#review
치킨,계열사,2.8,124,239,서울 종로구 백석동길 7,02-391-3566,매일 12:00 ~ 23:30,https://place.map.kakao.com/21303463#review
치킨,양키통닭,4.1,116,149,서울 영등포구 도림로139길 13 1층,070-8800-0815,영업시간 월~금 17:00 ~ 24:00,https://place.map.kakao.com/1142427389#review
치킨,철인7호치킨 홍대점,5.0,"1,393",102,서울 마포구 양화로6길 99-3 반지하,02-324-7175,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/26871883#review
치킨,서울숲 누룽지통닭구이,3.7,50,216,서울 성동구 왕십리로5길 10,02-462-9920,영업시간 월~금 16:00 ~ 02:00,https://place.map.kakao.com/27417406#review
치킨,장작집,4.0,31,122,서울 마포구 월드컵북로6길 19,010-3336-8844,,https://place.map.kakao.com/1191541006#review
치킨,아웃닭 홍대점,3.6,32,90,서울 마포구 와우산로17길 19,02-333-6334,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/22353150#review
치킨,이수통닭 본점,3.2,27,30,"서울 서초구 방배천로 92 세앙아르비체 102동 107,108호",02-581-8892,영업시간 매일 15:00 ~ 01:30,https://place.map.kakao.com/762088017#review
치킨,양재닭집,3.1,47,74,서울 서초구 남부순환로356길 15 양재시장 지하 1층,02-572-1741,월~토 12:00 ~ 24:00,https://place.map.kakao.com/12428506#review
치킨,동네아저씨치킨,3.6,30,46,서울 관악구 행운2길 16,02-872-0029,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/25592312#review
치킨,한신치킨,4.0,11,71,서울 서초구 신반포로23길 30,02-596-5990,매일 11:00 ~ 01:00,https://place.map.kakao.com/8611462#review
치킨,미친닭 종각본점,3.7,23,61,서울 종로구 우정국로2길 16 1층,02-722-9992,영업시간 매일 14:00 ~ 00:00,https://place.map.kakao.com/26884480#review
치킨,문래동원조마늘통닭 문래본점,2.8,25,55,서울 영등포구 도림로 469-1,02-2637-3480,영업시간 월~토 16:00 ~ 02:00,https://place.map.kakao.com/8477571#review
치킨,호또치킨 강남본점,2.9,9,15,서울 강남구 언주로93길 32-3 2층,02-555-0611,영업시간 매일 16:00 ~ 04:00,https://place.map.kakao.com/16767854#review
치킨,동경통닭,2.8,12,78,서울 동대문구 홍릉로1길 46 청량리전통시장 A동 1층,02-963-6880,매일 10:00 ~ 23:00,https://place.map.kakao.com/21402235#review
치킨,꼬꼬아찌숯불치킨 강남역점,3.5,15,53,서울 강남구 테헤란로1길 28-1 2층,02-554-9294,영업시간 매일 14:00 ~ 24:00,https://place.map.kakao.com/888590919#review
치킨,효도치킨 논현본점,3.8,19,33,서울 강남구 도산대로46길 21 101동 120호,02-518-0628,영업시간 월~토 15:00 ~ 23:00,https://place.map.kakao.com/1139521945#review
치킨,고가네숯불구이통닭,3.1,20,52,서울 동작구 상도로 136,02-825-0095,영업시간 매일 16:00 ~ 01:00,https://place.map.kakao.com/16043925#review
치킨,김종용누룽지통닭 한남점,4.2,15,61,서울 용산구 대사관로34길 12,02-794-9212,영업시간 매일 16:30 ~ 02:00,https://place.map.kakao.com/1429706639#review
치킨,금강바비큐치킨,4.0,13,22,서울 서초구 사평대로 349,02-511-0976,매일 11:00 ~ 07:00,https://place.map.kakao.com/8206545#review
치킨,미락치킨 경복궁본점,3.2,40,118,서울 종로구 자하문로 17-1,02-736-6741,영업시간 매일 14:00 ~ 02:00,https://place.map.kakao.com/13336632#review
치킨,천호누룽지통닭구이 성내점,3.9,8,62,서울 강동구 천호옛14길 35,02-474-9279,영업시간 매일 17:30 ~ 24:00,https://place.map.kakao.com/1758178236#review
치킨,네키드윙즈,4.3,35,83,서울 용산구 녹사평대로 174-11 1층,,영업시간 월~목 16:30 ~ 23:00,https://place.map.kakao.com/931679409#review
치킨,유진치킨 홍제점,2.9,18,79,서울 서대문구 세무서7길 13,02-394-9300,영업시간 화~일 14:00 ~ 23:00,https://place.map.kakao.com/1069880159#review
치킨,감계무량 당산본점,3.8,20,55,"서울 영등포구 당산로45길 2-1 지하1,지상1층",02-2634-7708,영업시간 월~토 15:00 ~ 01:00,https://place.map.kakao.com/352486952#review
치킨,한국통닭 종로3호점,4.4,21,31,서울 종로구 수표로 110-1,,매일 10:00 ~ 23:00,https://place.map.kakao.com/27494693#review
치킨,아웃닭 건대점,3.3,19,43,서울 광진구 동일로22길 51,02-467-9978,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/27334492#review
치킨,엉터리통닭,2.2,32,48,서울 용산구 회나무로 38-1,02-790-7737,영업시간 매일 15:00 ~ 06:00,https://place.map.kakao.com/12738900#review
치킨,해남닭집,3.8,12,33,서울 광진구 능동로13길 46,02-466-4656,월~토 13:00 ~ 01:00,https://place.map.kakao.com/11499383#review
치킨,치킨앤카레군,4.0,43,88,서울 마포구 어울마당로 125 1층,02-326-2498,매일 03:00 ~ 23:30,https://place.map.kakao.com/26922987#review
치킨,엉짱윤치킨,2.9,21,37,서울 양천구 목동동로 177 삼성쉐르빌2차 상가동 1층 101호,02-2061-9981,,https://place.map.kakao.com/1690049786#review
치킨,꼬랑치킨,3.0,12,53,서울 성동구 행당로17길 11,02-2298-8498,영업시간 매일 16:00 ~ 03:00,https://place.map.kakao.com/8824523#review
치킨,대한맥주집 성신여대직영점,4.2,25,72,서울 성북구 동소문로24길 49,02-924-0815,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/1436558312#review
치킨,인근주민 상도점,4.7,29,71,서울 동작구 양녕로 265 1층,02-817-8599,영업시간 매일 15:00 ~ 03:00,https://place.map.kakao.com/1446660533#review
치킨,다글다글,4.7,49,28,서울 관악구 남현길 63-5 1층,02-583-3231,매일 12:00 ~ 24:00,https://place.map.kakao.com/18358291#review
치킨,크레이지후라이 무교점,3.9,7,113,서울 중구 남대문로9길 24 패스트파이브타워 1층,02-773-7979,월~금 11:30 ~ 23:30 · 브레이크타임 월~금 15:00 ~ 17:00,https://place.map.kakao.com/1495431472#review
치킨,로켓치킨,3.3,8,63,"서울 마포구 양화로7길 6-4 1,2층",02-335-7723,영업시간 매일 15:00 ~ 03:00,https://place.map.kakao.com/2079469733#review
치킨,맛나닭가마솥치킨,5.0,6,102,서울 송파구 마천로51길 23 1층,02-449-6999,매일 12:30 ~ 24:00,https://place.map.kakao.com/27227401#review
