업종,시도,시군구,당월,전월,전년동월
LPG 충전소,서울특별시,중구,*,*,*
LPG 충전소,서울특별시,성동구,*,*,*
LPG 충전소,서울특별시,광진구,*,*,*
LPG 충전소,서울특별시,동대문구,4,4,4
LPG 충전소,서울특별시,중랑구,4,4,4
LPG 충전소,서울특별시,성북구,*,*,*
LPG 충전소,서울특별시,강북구,3,3,3
LPG 충전소,서울특별시,도봉구,6,5,5
LPG 충전소,서울특별시,노원구,6,6,6
LPG 충전소,서울특별시,은평구,3,3,3
LPG 충전소,서울특별시,양천구,7,6,6
LPG 충전소,서울특별시,강서구,12,13,15
LPG 충전소,서울특별시,구로구,5,5,5
LPG 충전소,서울특별시,영등포구,*,*,*
LPG 충전소,서울특별시,관악구,3,3,3
LPG 충전소,서울특별시,서초구,3,3,3
LPG 충전소,서울특별시,강남구,7,7,7
LPG 충전소,서울특별시,송파구,3,3,3
LPG 충전소,서울특별시,강동구,4,4,5
LPG 충전소,인천광역시,중구,5,5,5
LPG 충전소,인천광역시,동구,*,*,*
LPG 충전소,인천광역시,미추홀구,7,7,8
LPG 충전소,인천광역시,연수구,3,3,3
LPG 충전소,인천광역시,남동구,9,8,8
LPG 충전소,인천광역시,부평구,15,14,15
LPG 충전소,인천광역시,계양구,5,5,4
LPG 충전소,인천광역시,서구,19,19,19
LPG 충전소,인천광역시,강화군,4,4,4
LPG 충전소,인천광역시,옹진군,*,*,*
LPG 충전소,경기도,수원시 장안구,3,3,3
LPG 충전소,경기도,수원시 권선구,14,13,12
LPG 충전소,경기도,수원시 팔달구,*,*,*
LPG 충전소,경기도,수원시 영통구,3,3,3
LPG 충전소,경기도,성남시 수정구,5,5,5
LPG 충전소,경기도,성남시 중원구,*,*,*
LPG 충전소,경기도,성남시 분당구,3,3,4
LPG 충전소,경기도,의정부시,8,8,7
LPG 충전소,경기도,안양시 만안구,*,*,*
LPG 충전소,경기도,안양시 동안구,3,*,*
LPG 충전소,경기도,부천시,10,9,10
LPG 충전소,경기도,광명시,*,*,*
LPG 충전소,경기도,평택시,23,26,27
LPG 충전소,경기도,동두천시,7,7,7
LPG 충전소,경기도,안산시 상록구,13,12,13
LPG 충전소,경기도,안산시 단원구,8,8,8
LPG 충전소,경기도,고양시 덕양구,11,11,11
LPG 충전소,경기도,고양시 일산동구,7,7,7
LPG 충전소,경기도,고양시 일산서구,6,6,6
LPG 충전소,경기도,과천시,3,3,3
LPG 충전소,경기도,구리시,5,5,5
LPG 충전소,경기도,남양주시,11,11,12
LPG 충전소,경기도,오산시,9,9,9
LPG 충전소,경기도,시흥시,11,9,8
LPG 충전소,경기도,군포시,*,*,*
LPG 충전소,경기도,의왕시,6,6,6
LPG 충전소,경기도,하남시,6,6,7
LPG 충전소,경기도,용인시 처인구,18,17,20
LPG 충전소,경기도,용인시 기흥구,13,13,14
LPG 충전소,경기도,파주시,22,22,21
LPG 충전소,경기도,이천시,13,13,13
LPG 충전소,경기도,안성시,17,16,14
LPG 충전소,경기도,김포시,17,18,19
LPG 충전소,경기도,화성시,25,25,22
LPG 충전소,경기도,광주시,8,8,9
LPG 충전소,경기도,양주시,17,17,17
LPG 충전소,경기도,포천시,18,17,18
LPG 충전소,경기도,여주시,7,7,6
LPG 충전소,경기도,연천군,5,5,5
LPG 충전소,경기도,가평군,10,11,12
LPG 충전소,경기도,양평군,5,5,6
LPG 충전소,강원도,춘천시,15,15,14
LPG 충전소,강원도,원주시,8,8,11
LPG 충전소,강원도,강릉시,12,12,12
LPG 충전소,강원도,동해시,7,7,8
LPG 충전소,강원도,태백시,*,*,*
LPG 충전소,강원도,속초시,6,6,6
LPG 충전소,강원도,삼척시,*,*,3
LPG 충전소,강원도,홍천군,7,7,6
LPG 충전소,강원도,횡성군,4,4,4
LPG 충전소,강원도,영월군,5,5,5
LPG 충전소,강원도,평창군,3,3,3
LPG 충전소,강원도,정선군,*,3,3
LPG 충전소,강원도,철원군,3,3,3
LPG 충전소,강원도,화천군,*,*,*
LPG 충전소,강원도,양구군,3,3,3
LPG 충전소,강원도,인제군,7,7,6
LPG 충전소,강원도,고성군,*,*,*
LPG 충전소,강원도,양양군,4,4,4
LPG 충전소,대전광역시,동구,5,5,9
LPG 충전소,대전광역시,중구,5,5,7
LPG 충전소,대전광역시,서구,6,6,4
LPG 충전소,대전광역시,유성구,10,9,9
LPG 충전소,대전광역시,대덕구,12,13,10
LPG 충전소,충청북도,청주시 상당구,5,5,5
LPG 충전소,충청북도,청주시 서원구,7,7,7
LPG 충전소,충청북도,청주시 흥덕구,7,7,8
LPG 충전소,충청북도,청주시 청원구,8,8,7
LPG 충전소,충청북도,충주시,17,17,17
LPG 충전소,충청북도,제천시,11,11,11
LPG 충전소,충청북도,옥천군,*,*,*
LPG 충전소,충청북도,영동군,*,*,*
LPG 충전소,충청북도,증평군,3,3,*
LPG 충전소,충청북도,진천군,3,3,3
LPG 충전소,충청북도,괴산군,*,*,*
LPG 충전소,충청북도,음성군,8,8,9
LPG 충전소,충청북도,단양군,*,*,*
LPG 충전소,충청남도,천안시 동남구,14,14,10
LPG 충전소,충청남도,천안시 서북구,16,16,17
LPG 충전소,충청남도,공주시,13,13,13
LPG 충전소,충청남도,보령시,7,7,7
LPG 충전소,충청남도,아산시,13,11,11
LPG 충전소,충청남도,서산시,10,10,9
LPG 충전소,충청남도,논산시,11,11,10
LPG 충전소,충청남도,계룡시,3,3,3
LPG 충전소,충청남도,당진시,9,9,8
