업태별,시도,시군구,존속연수별,(전체)당월,(전체)전월,(전체)전년동월,(개인)당월,(개인)전월,(개인)전년동월,(법인)당월,(법인)전월,(법인)전년동월
농·임·어업,6개월 미만,6개월 미만,6개월 미만,7436 ,7178 ,7067 ,5778 ,5525 ,5330 ,1658 ,1653 ,1737 
농·임·어업,6개월 이상,6개월 이상,6개월 이상,6056 ,6204 ,5742 ,4545 ,4657 ,4381 ,1511 ,1547 ,1361 
농·임·어업,1년 이상,1년 이상,1년 이상,10875 ,10576 ,9029 ,8124 ,7926 ,6780 ,2751 ,2650 ,2249 
농·임·어업,2년 이상,2년 이상,2년 이상,8411 ,8373 ,8147 ,6274 ,6248 ,6008 ,2137 ,2125 ,2139 
농·임·어업,3년 이상,3년 이상,3년 이상,14508 ,14506 ,13658 ,10671 ,10641 ,9816 ,3837 ,3865 ,3842 
농·임·어업,5년 이상,5년 이상,5년 이상,22124 ,22003 ,20390 ,14867 ,14745 ,13489 ,7257 ,7258 ,6901 
농·임·어업,10년 이상,10년 이상,10년 이상,21489 ,21466 ,20447 ,16709 ,16776 ,16648 ,4780 ,4690 ,3799 
농·임·어업,20년 이상,20년 이상,20년 이상,9779 ,9660 ,9195 ,9170 ,9064 ,8631 ,609 ,596 ,564 
농·임·어업,30년 이상,30년 이상,30년 이상,2417 ,2408 ,2206 ,2197 ,2189 ,2007 ,220 ,219 ,199 
농·임·어업,서울특별시,6개월 미만,6개월 미만,55 ,58 ,52 ,33 ,31 ,16 ,22 ,27 ,36 
농·임·어업,서울특별시,6개월 이상,6개월 이상,29 ,32 ,42 ,18 ,17 ,21 ,11 ,15 ,21 
농·임·어업,서울특별시,1년 이상,1년 이상,82 ,77 ,80 ,30 ,29 ,34 ,52 ,48 ,46 
농·임·어업,서울특별시,2년 이상,2년 이상,72 ,70 ,64 ,30 ,29 ,32 ,42 ,41 ,32 
농·임·어업,서울특별시,3년 이상,3년 이상,101 ,102 ,100 ,47 ,49 ,38 ,54 ,53 ,62 
농·임·어업,서울특별시,5년 이상,5년 이상,152 ,152 ,138 ,43 ,43 ,39 ,109 ,109 ,99 
농·임·어업,서울특별시,10년 이상,10년 이상,91 ,92 ,83 ,52 ,53 ,48 ,39 ,39 ,35 
농·임·어업,서울특별시,20년 이상,20년 이상,44 ,44 ,37 ,20 ,19 ,15 ,24 ,25 ,22 
농·임·어업,서울특별시,30년 이상,30년 이상,20 ,19 ,18 ,6 ,6 ,5 ,14 ,13 ,13 
농·임·어업,서울특별시,종로구,6개월 미만,3 ,*,*,*,*,*,*,*,*
농·임·어업,서울특별시,종로구,1년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,종로구,2년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,종로구,3년 이상,*,3 ,*,*,*,*,*,*,*
농·임·어업,서울특별시,종로구,5년 이상,4 ,3 ,*,*,*,*,3 ,3 ,*
농·임·어업,서울특별시,종로구,10년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,종로구,20년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,종로구,30년 이상,*,*,*,*,*,*,*,*,*
농·임·어업,서울특별시,중구,6개월 미만,5 ,5 ,*,*,*,*,5 ,5 ,*
농·임·어업,서울특별시,중구,6개월 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,중구,1년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,중구,2년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,중구,3년 이상,*,*,3 ,*,*,*,*,*,*
농·임·어업,서울특별시,중구,5년 이상,*,*,*,*,*,*,*,*,*
농·임·어업,서울특별시,중구,10년 이상,*,*,*,*,*,*,,,
농·임·어업,서울특별시,중구,20년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,중구,30년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,용산구,6개월 미만,*,*,4 ,,,,*,*,4 
농·임·어업,서울특별시,용산구,6개월 이상,*,4 ,3 ,*,*,*,*,4 ,*
농·임·어업,서울특별시,용산구,1년 이상,7 ,3 ,*,*,*,*,5 ,*,*
농·임·어업,서울특별시,용산구,3년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,용산구,5년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,용산구,10년 이상,*,*,*,*,*,*,*,*,*
농·임·어업,서울특별시,용산구,20년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,성동구,6개월 미만,*,*,*,*,*,*,*,*,*
농·임·어업,서울특별시,성동구,6개월 이상,*,*,*,*,*,*,,,
농·임·어업,서울특별시,성동구,1년 이상,*,*,*,*,*,*,,,
농·임·어업,서울특별시,성동구,2년 이상,*,*,*,*,*,*,,,
농·임·어업,서울특별시,성동구,3년 이상,3 ,3 ,5 ,*,*,3 ,*,*,*
농·임·어업,서울특별시,성동구,5년 이상,3 ,3 ,*,*,*,*,*,*,*
농·임·어업,서울특별시,성동구,10년 이상,*,*,*,*,*,*,*,*,*
농·임·어업,서울특별시,성동구,20년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,광진구,6개월 미만,4 ,4 ,*,3 ,3 ,*,*,*,*
농·임·어업,서울특별시,광진구,6개월 이상,*,*,4 ,*,*,*,*,*,*
농·임·어업,서울특별시,광진구,1년 이상,6 ,6 ,*,4 ,4 ,*,*,*,*
농·임·어업,서울특별시,광진구,2년 이상,3 ,3 ,*,*,*,*,*,*,*
농·임·어업,서울특별시,광진구,5년 이상,6 ,6 ,5 ,*,*,*,5 ,5 ,5 
농·임·어업,서울특별시,광진구,10년 이상,8 ,8 ,9 ,3 ,3 ,3 ,5 ,5 ,6 
농·임·어업,서울특별시,광진구,20년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,광진구,30년 이상,*,*,*,,,,*,*,*
농·임·어업,서울특별시,동대문구,6개월 미만,3 ,*,*,3 ,*,*,*,*,*
농·임·어업,서울특별시,동대문구,6개월 이상,*,*,*,*,*,*,,,
농·임·어업,서울특별시,동대문구,1년 이상,*,*,*,*,*,*,*,*,*
농·임·어업,서울특별시,동대문구,2년 이상,*,*,*,*,*,*,*,*,*
농·임·어업,서울특별시,동대문구,3년 이상,3 ,3 ,*,*,*,*,*,*,*
농·임·어업,서울특별시,동대문구,5년 이상,5 ,5 ,5 ,*,*,*,4 ,4 ,4 
