업종,가게이름,평가점수,평가인원,리뷰갯수,주소,Latitude,Longitude,전화,영업시간,링크주소
치킨,한남동한방통닭,4,126,299,서울 용산구 대사관로34길 38,37.5315144,127.0055198,02-797-8677,영업시간 월~토 17:00 ~ 02:00,https://place.map.kakao.com/16330571#review
치킨,계열사,2.8,124,237,서울 종로구 백석동길 7,37.5928384,126.9655941,02-391-3566,매일 12:00 ~ 23:30,https://place.map.kakao.com/21303463#review
치킨,서울숲 누룽지통닭구이,3.7,50,216,서울 성동구 왕십리로5길 10,37.5469252,127.0443992,02-462-9920,"영업시간 토,일 15:00 ~ 02:00",https://place.map.kakao.com/27417406#review
치킨,양키통닭,4.1,116,150,서울 영등포구 도림로139길 13 1층,37.5136237,126.8927442,070-8800-0815,토 16:00 ~ 01:00,https://place.map.kakao.com/1142427389#review
치킨,장작집,4,31,122,서울 마포구 월드컵북로6길 19,37.5582874,126.9195268,010-3336-8844,,https://place.map.kakao.com/1191541006#review
치킨,미락치킨 경복궁본점,3.2,40,119,서울 종로구 자하문로 17-1,37.5775919,126.9718766,02-736-6741,매일 14:00 ~ 02:00,https://place.map.kakao.com/380922242#review
치킨,크레이지후라이 무교점,3.9,7,113,서울 중구 남대문로9길 24 패스트파이브타워 1층,37.567102,126.9811195,02-773-7979,토 12:00 ~ 22:00,https://place.map.kakao.com/1629100995#review
치킨,철인7호치킨 홍대점,5,1394,103,서울 마포구 양화로6길 99-3 반지하,37.5484977,126.9197702,02-324-7175,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/26871883#review
치킨,맛나닭가마솥치킨,5,6,102,서울 송파구 마천로51길 23 1층,37.4969208,127.1521826,02-449-6999,매일 12:30 ~ 24:00,https://place.map.kakao.com/27227401#review
치킨,보드람치킨 영등포구청점,3.5,4,84,서울 영등포구 국회대로34길 18 1층,37.5259262,126.8971476,02-2677-2848,매일 12:00 ~ 02:00,https://place.map.kakao.com/1196749962#review
치킨,네키드윙즈,4.3,35,83,서울 용산구 녹사평대로 174-11 1층,37.5337848,126.9893551,,금~일 11:30 ~ 23:00,https://place.map.kakao.com/931679409#review
치킨,유진치킨 홍제점,2.9,18,79,서울 서대문구 세무서7길 13,37.5914212,126.9460607,02-394-9300,화~일 14:00 ~ 23:00,https://place.map.kakao.com/1069880159#review
치킨,동경통닭,2.8,12,78,서울 동대문구 홍릉로1길 46 청량리전통시장 A동 1층,37.5804274,127.0423579,02-963-6880,매일 10:00 ~ 23:00,https://place.map.kakao.com/21402235#review
치킨,인근주민 상도점,4.7,29,74,서울 동작구 양녕로 265 1층,37.5036994,126.9482304,02-817-8599,매일 15:00 ~ 03:00,https://place.map.kakao.com/1446660533#review
치킨,양재닭집,3.1,47,73,서울 서초구 남부순환로356길 15 양재시장 지하 1층,37.4842682,127.0378827,02-572-1741,월~토 12:00 ~ 24:00,https://place.map.kakao.com/12428506#review
치킨,대한맥주집 성신여대직영점,4.2,25,71,서울 성북구 동소문로24길 49,37.5914423,127.0187299,02-924-0815,매일 16:00 ~ 02:00,https://place.map.kakao.com/1436558312#review
치킨,한신치킨,4,11,71,서울 서초구 신반포로23길 30,37.5087472,127.0035315,02-596-5990,매일 11:00 ~ 01:00,https://place.map.kakao.com/8611462#review
치킨,천호누룽지통닭구이 성내점,3.9,8,62,서울 강동구 천호옛14길 35,37.5359931,127.127429,02-474-9279,영업시간 매일 17:30 ~ 24:00,https://place.map.kakao.com/1758178236#review
치킨,남원통닭,4.3,14,62,서울 동대문구 홍릉로1길 39,37.5803749,127.0427672,02-968-9841,매일 10:00 ~ 22:00,https://place.map.kakao.com/27323391#review
치킨,계림원 회기역점,4.4,12,62,서울 동대문구 회기로28길 9,37.5894272,127.0562616,02-959-9292,영업시간 매일 17:00 ~ 02:00,https://place.map.kakao.com/1668979298#review
치킨,미친닭 종각본점,3.7,23,61,서울 종로구 우정국로2길 16 1층,37.5694118,126.9838897,02-722-9992,매일 14:00 ~ 00:00,https://place.map.kakao.com/26884480#review
치킨,도담치킨 한양대점,4,12,60,서울 성동구 마조로1가길 14,37.5602607,127.0400693,02-2295-9253,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/1609269590#review
치킨,문래동원조마늘통닭 문래본점,2.8,25,55,서울 영등포구 도림로 469-1,37.5158263,126.8911619,02-2637-3480,영업시간 월~토 16:00 ~ 02:00,https://place.map.kakao.com/8477571#review
치킨,노랑통닭 중계점,3.7,3,55,서울 노원구 한글비석로 245 두타빌 B동 1층,37.6495775,127.076352,02-933-9215,영업시간 매일 15:00 ~ 01:00,https://place.map.kakao.com/16589600#review
치킨,강남촌닭 군자점,0,0,52,"서울 광진구 천호대로 570 1,2층",37.5560906,127.081051,02-3436-9955,매일 14:00 ~ 02:00,https://place.map.kakao.com/25413056#review
치킨,고가네숯불구이통닭,3.1,20,52,서울 동작구 상도로 136,37.5021223,126.935019,02-825-0095,,https://place.map.kakao.com/16043925#review
치킨,꼬랑치킨,3,12,52,서울 성동구 행당로17길 11,37.5593814,127.0333507,02-2298-8498,영업시간 매일 16:00 ~ 03:00,https://place.map.kakao.com/8824523#review
치킨,감계무량 당산본점,3.8,20,50,"서울 영등포구 당산로45길 2-1 지하1,지상1층",37.5334463,126.9010241,02-2634-7708,월~토 15:00 ~ 01:00,https://place.map.kakao.com/352486952#review
치킨,엉터리통닭,2.2,32,48,서울 용산구 회나무로 38-1,37.5395986,126.9907567,02-790-7737,영업시간 매일 15:00 ~ 06:00,https://place.map.kakao.com/1768894016#review
치킨,사이치킨,3.9,28,46,서울 종로구 백석동길 1,37.5949018,126.968743,,,https://place.map.kakao.com/9621624#review
치킨,치킨곱하기떡볶이 왕십리본점,0,0,45,서울 성동구 마장로 137 텐즈힐상가 B동 1층 142호,37.5663079,127.0369547,02-2299-4590,매일 12:00 ~ 24:00,https://place.map.kakao.com/881722306#review
치킨,오늘통닭 우이직영점,1,1,44,서울 도봉구 삼양로 538 1층,37.6510179,127.0131597,02-999-2155,매일 12:00 ~ 02:00,https://place.map.kakao.com/2052566064#review
치킨,아웃닭 신촌역점,2.7,19,43,서울 서대문구 연세로4길 19 1층,37.5573377,126.9377977,,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/838351158#review
치킨,달가득치킨,3.6,16,41,서울 은평구 연서로28길 10 1층,37.6177612,126.9209684,02-6101-9390,"월,수,목,금,토,일 14:30 ~ 01:30",https://place.map.kakao.com/1477357176#review
치킨,낭만치맥 가양본점,3.8,5,36,서울 강서구 양천로 492 길훈엔트러스빌 1층 101호,37.5690471,126.8225313,02-3664-5152,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/26486769#review
